HM1: Division,Comment
Community Care Division,I am happy in my new role.  It is new and challenging but I am supported by the operational lead.
Community Care Division,"I am happy in my role I feel very supported by my immediate manager and the team I work with.  I believe there are too many management roles within the NHS, and since the transformation, clinical pathways are more confusing than ever.  Systems such as booking courses are overly complicated for some staff.  Systems should be user friendly.  In an IAPT service, whilst we are working with measures that we all agree are not fit for purpose, but will not change, has the potential to impact on staff morale and make attracting new staff difficult."
Community Care Division,"I am happy to work in my team, inside the organisation.  Many thanks."
Community Care Division,I am happy with in my current role.
Community Care Division,"I am happy within my role at Merseycare however I feel there needs to be a stronger more effective process when involving absence.  I find there is little or no support from HR in these matters and seems to be no consequence for staff who have extensive sickness.  I spend a lot of my time dealing with team members absence instead of using my time for more development of staff that seem to want to be here, give back and have strong team values."
Community Care Division,I am on a fixed term contract which is why I am looking for other roles.
Community Care Division,I am proud of the team I work with and have very supportive colleagues and manager.  I'm also proud of the work we do for our families.
Community Care Division,"I am quite happy with my job, however being a band [number removed] for the last [timeframe removed] has made me feel like we don't matter.  We as a team have been fighting for a band [number removed] for a number of years and I feel that the managers have done everything in their power to stop this.  It is appalling that this has been allowed.  It has made me feel that we don't matter."
Community Care Division,I am struggling with work at the minute not enough staff to do the role.
Community Care Division,I am thinking of retire and return.  The last medical secretary was turned down to do this and has since left the Trust.  I will ask and see what the outcome is before making any decisions.  Thanks.
Community Care Division,"I am very grateful to my colleagues, managers and other management of my organisation.  And I love my patients, most/all most all of them are wonderful."
Community Care Division,I am very satisfied with my working life in my team within Merseycare.
Community Care Division,"I applied to reduce my hours , I have had to wait for over many months for the organisation to recruit another member of staff to allow me to finally reduce my working week from 4 days to 3."
Community Care Division,I believe that Mersey Care should be trying and helping progress it's own employees more and reward them with more opportunity for those who wish to move up the ladder and progress professionally.
Community Care Division,"I believe the main problem we face at the moment is with high sickness absences.  This is monitored by line managers within the team accordingly but rarely any action taken once staff reach stage 3, this seems to be due to to delays/push back from HR.  I believe this is causing a lot of wasted resource, money and time and also causes a decrease of staff morale constantly having to cover sickness."
Community Care Division,"I come under admin staff and feel that we are expected to do to much for our current job role i.e. expected to cover a wide range of duties including your own job in different venues - which at the moment is impossible, due to lack of staff.  This makes me feel indispensable.  I feel that where health and safety for staff comes is always down to costing.  Staff should feel safe in their workplace and I do not at present."
